BROKER,ID (ticker or isin),QUANTITY,UNIT PRICE,CURRENCY
REVOLUT,AMD,3.464,115.49,USD
REVOLUT,BABA,1.794,111.49,USD
DEGIRO,CA0641491075,10.0,46.17,EUR
DEGIRO,CA7800871021,3.0,94.28,USD
DEGIRO,CA87971M1032,40.0,18.44,USD
DEGIRO,CA8911605092,5.0,60.06,USD
REVOLUT,DIS,5.755,153.6,USD
DEGIRO,FR0013416716,65.0,63.254,EUR
DEGIRO,IE00B1FZSC47,5.0,210.5,EUR
DEGIRO,IE00B53SZB19,3.0,603.633,EUR
DEGIRO,IE00BFM6T921,860.0,5.781,USD
DEGIRO,IE00BG47KH54,50.0,21.844,EUR
DEGIRO,IE00BZ163M45,20.0,20.748,EUR
REVOLUT,INTC,12.286,32.56,USD
REVOLUT,MA,3.197,331.598,USD
REVOLUT,MSFT,0.799,250.24,USD
REVOLUT,NNN,8.37,47.79,USD
REVOLUT,NYT,15.682,46.74,USD
REVOLUT,O,20.479,58.548,USD
REVOLUT,PYPL,7.814,140.765,USD
DEGIRO,US9113121068,5.0,182.82,USD
REVOLUT,V,3.76,212.79,USD
REVOLUT,WORK,20.482,43.16,USD
REVOLUT,WPC,9.678,67.163,USD
