DATE,BROKER,TYPE,TICKER,ISIN,AMOUNT,CURRENCY
2020/12/02,REVOLUT,NET DIVIDEND,V,,1.02,USD
2021/01/22,REVOLUT,NET DIVIDEND,NYT,,0.80,USD
2021/02/10,REVOLUT,NET DIVIDEND,MA,,0.88,USD
2021/03/02,REVOLUT,NET DIVIDEND,V,,1.02,USD
2021/03/11,REVOLUT,NET DIVIDEND,XOM,,13.23,USD
2021/04/23,REVOLUT,NET DIVIDEND,NYT,,0.93,USD
2021/05/10,REVOLUT,NET DIVIDEND,MA,,1.20,USD
2021/06/02,REVOLUT,NET DIVIDEND,V,,1.02,USD
2021/06/11,REVOLUT,NET DIVIDEND,XOM,,13.23,USD
2021/07/23,REVOLUT,NET DIVIDEND,NYT,,0.93,USD
2021/08/10,REVOLUT,NET DIVIDEND,MA,,1.20,USD
2021/09/02,REVOLUT,NET DIVIDEND,V,,1.02,USD
2021/09/13,REVOLUT,NET DIVIDEND,XOM,,13.23,USD
2021/10/25,REVOLUT,NET DIVIDEND,NYT,,0.93,USD
2021/11/10,REVOLUT,NET DIVIDEND,MA,,1.20,USD
2021/12/09,REVOLUT,NET DIVIDEND,V,,1.20,USD
2021/12/13,REVOLUT,NET DIVIDEND,XOM,,13.39,USD
2022/01/21,REVOLUT,NET DIVIDEND,NYT,,0.93,USD
2022/02/10,REVOLUT,NET DIVIDEND,MA,,1.33,USD
2022/03/02,REVOLUT,NET DIVIDEND,V,,1.20,USD
2022/03/11,REVOLUT,NET DIVIDEND,XOM,,13.39,USD
2022/04/22,REVOLUT,NET DIVIDEND,NYT,,1.20,USD
2022/05/10,REVOLUT,NET DIVIDEND,MA,,1.33,USD
2022/06/02,REVOLUT,NET DIVIDEND,V,,1.20,USD
2022/06/13,REVOLUT,NET DIVIDEND,XOM,,13.39,USD
2022/07/22,REVOLUT,NET DIVIDEND,NYT,,1.20,USD
2022/08/10,REVOLUT,NET DIVIDEND,MA,,1.33,USD
2022/09/02,REVOLUT,NET DIVIDEND,V,,1.20,USD
2022/09/12,REVOLUT,NET DIVIDEND,XOM,,13.39,USD
2022/10/17,REVOLUT,NET DIVIDEND,WPC,,4.44,USD
2022/10/24,REVOLUT,NET DIVIDEND,NYT,,1.20,USD
2022/11/10,REVOLUT,NET DIVIDEND,MA,,1.33,USD
2022/11/16,REVOLUT,NET DIVIDEND,NNN,,3.91,USD
2022/12/02,REVOLUT,NET DIVIDEND,V,,1.44,USD
2022/12/12,REVOLUT,NET DIVIDEND,XOM,,13.85,USD
2023/01/17,REVOLUT,NET DIVIDEND,WPC,,4.45,USD
2023/01/20,REVOLUT,NET DIVIDEND,NYT,,1.20,USD
2023/02/10,REVOLUT,NET DIVIDEND,MA,,1.55,USD
2023/02/16,REVOLUT,NET DIVIDEND,NNN,,3.91,USD
2023/03/02,REVOLUT,NET DIVIDEND,V,,1.44,USD
2023/03/14,REVOLUT,NET DIVIDEND,XOM,,13.85,USD
2023/04/17,REVOLUT,NET DIVIDEND,WPC,,4.46,USD
2023/04/21,REVOLUT,NET DIVIDEND,NYT,,1.47,USD
2023/05/10,REVOLUT,NET DIVIDEND,MA,,1.55,USD
2023/05/16,REVOLUT,NET DIVIDEND,NNN,,3.91,USD
2023/06/02,REVOLUT,NET DIVIDEND,V,,1.44,USD
2023/06/09,REVOLUT,NET DIVIDEND,MSFT,,0.46,USD
2023/06/13,REVOLUT,NET DIVIDEND,XOM,,13.85,USD
2023/06/16,REVOLUT,NET DIVIDEND,O,,1.43,USD
2023/07/17,REVOLUT,NET DIVIDEND,WPC,,4.47,USD
2023/07/17,REVOLUT,NET DIVIDEND,O,,1.43,USD
2023/07/28,REVOLUT,NET DIVIDEND,NYT,,1.46,USD
2023/08/10,REVOLUT,NET DIVIDEND,MA,,1.55,USD
2023/08/16,REVOLUT,NET DIVIDEND,NNN,,4.01,USD
2023/08/16,REVOLUT,NET DIVIDEND,O,,1.43,USD
2023/09/05,REVOLUT,NET DIVIDEND,V,,1.44,USD
2023/09/06,REVOLUT,NET DIVIDEND,INTC,,1.30,USD
2023/09/15,REVOLUT,NET DIVIDEND,MSFT,,0.46,USD
2023/09/18,REVOLUT,NET DIVIDEND,O,,2.87,USD
2023/10/16,REVOLUT,NET DIVIDEND,O,,4.45,USD
2023/10/17,REVOLUT,NET DIVIDEND,WPC,,4.48,USD
2023/10/27,REVOLUT,NET DIVIDEND,NYT,,1.46,USD
2023/08/01,DEGIRO,DIVIDEND,,CA8911605092,"4,80",CAD
2023/08/01,DEGIRO,TAX,,CA8911605092,"-1,20",CAD
2023/07/28,DEGIRO,DIVIDEND,,CA0641491075,"10,60",CAD
2023/07/28,DEGIRO,TAX,,CA0641491075,"-2,65",CAD
2023/07/27,DEGIRO,DIVIDEND,,IE00BZ163M45,"1,13",USD
2023/06/29,DEGIRO,DIVIDEND,,IE00BZ163M45,"1,16",USD
2023/06/02,DEGIRO,DIVIDEND,,US9113121068,"8,10",USD
2023/06/02,DEGIRO,TAX,,US9113121068,"-1,22",USD
2023/06/01,DEGIRO,DIVIDEND,,IE00BZ163M45,"1,42",USD
